Male,Female
he/him,she/her
hij/hem,zij/haar
dad,mom
daddy,mommy
father,mother
vader,moeder
papa,meisje
boy,vrouw
man,mama
dude,girl
brother,girly
broer,studente
uncle,woman
nonkel,queen
oom,sis
hij,sister
hem,zus
homo,aunt
he/they,tante
hij/hun,zij
boerenzoon,zij/hun
zoon,she/they
kerel,feministe
,keizerin
,eigenares
,mum
